UF,Populacao,Ano
RO,1777225,2019
AC,881935,2019
AM,4144597,2019
RR,605761,2019
PA,8602865,2019
AP,845731,2019
TO,1572866,2019
MA,7075181,2019
PI,3273227,2019
CE,9132078,2019
RN,3506853,2019
PB,4018127,2019
PE,9557071,2019
AL,3337357,2019
SE,2298696,2019
BA,14873064,2019
MG,21168791,2019
ES,4018650,2019
RJ,17264943,2019
SP,45919049,2019
PR,11433957,2019
SC,7164788,2019
RS,11377239,2019
MS,2778986,2019
MT,3484466,2019
GO,7018354,2019
DF,3015268,2019
RO,1796460,2020
AC,894470,2020
AM,4207714,2020
RR,631181,2020
PA,8690745,2020
AP,861773,2020
TO,1590248,2020
MA,7114598,2020
PI,3281480,2020
CE,9187103,2020
RN,3534165,2020
PB,4039277,2020
PE,9616621,2020
AL,3351543,2020
SE,2318822,2020
BA,14930634,2020
MG,21292666,2020
ES,4064052,2020
RJ,17366189,2020
SP,46289333,2020
PR,11516840,2020
SC,7252502,2020
RS,11422973,2020
MS,2809394,2020
MT,3526220,2020
GO,7113540,2020
DF,3055149,2020
RO,1815278,2021
AC,906876,2021
AM,4269995,2021
RR,652713,2021
PA,8777124,2021
AP,877613,2021
TO,1607363,2021
MA,7153262,2021
PI,3289290,2021
CE,9240580,2021
RN,3560903,2021
PB,4059905,2021
PE,9674793,2021
AL,3365351,2021
SE,2338474,2021
BA,14985284,2021
MG,21411923,2021
ES,4108508,2021
RJ,17463349,2021
SP,46649132,2021
PR,11597484,2021
SC,7338473,2021
RS,11466630,2021
MS,2839188,2021
MT,3567234,2021
GO,7206589,2021
DF,3094325,2021
RO,1616379,2022
AC,829780,2022
AM,3952262,2022
RR,634805,2022
PA,8442962,2022
AP,774268,2022
TO,1584306,2022
MA,6800605,2022
PI,3270174,2022
CE,8936431,2022
RN,3303953,2022
PB,4030961,2022
PE,9051113,2022
AL,3125254,2022
SE,2211868,2022
BA,14659023,2022
MG,20732660,2022
ES,3975100,2022
RJ,16615526,2022
SP,46024937,2022
PR,11835379,2022
SC,7762154,2022
RS,11088065,2022
MS,2833742,2022
MT,3784239,2022
GO,6950976,2022
DF,2923369,2022
RO,1581196,2023
AC,830018,2023
AM,3941613,2023
RR,636707,2023
PA,8120131,2023
AP,733759,2023
TO,1511460,2023
MA,6776699,2023
PI,3271199,2023
CE,8794957,2023
RN,3302729,2023
PB,3974687,2023
PE,9058931,2023
AL,3127683,2023
SE,2210004,2023
BA,14141626,2023
MG,20539989,2023
ES,3833712,2023
RJ,16055174,2023
SP,44411238,2023
PR,11444380,2023
SC,7610361,2023
RS,10882965,2023
MS,2757013,2023
MT,3658649,2023
GO,7056495,2023
DF,2817381,2023
